PC1,PC2,PC3,PC4,PC5,orig_Max BOD,orig_Min Temperature,orig_Min BOD,orig_Max Temperature,orig_Max Fecal Coliform,orig_Min Dissolved Oxygen,orig_Min Nitrate N + Nitrite N,orig_Max Nitrate N + Nitrite N,orig_Max Total Coliform,orig_Min pH,orig_Temperature_Range,orig_Min Fecal Coliform,STN_Code,Water_Body_Type
-1.3869623356260137,-0.1928224550926362,2.2387910673276714,1.571425896387016,-0.42131402359829256,2.6,21.0,2.1,38.0,720.0,4.7,0.8,2.0,1200.0,7.0,17.0,300.0,5137.0,WETLAND
-1.2954397539760585,-0.11872624242426075,2.0173724004995064,1.6867769664318324,-0.44905934762520416,2.6,22.0,2.0,38.0,730.0,4.9,1.0,1.6,1500.0,7.0,16.0,300.0,5136.0,WETLAND
0.6279151581499699,-3.173242524860034,1.288888899352017,-1.2159262247755667,0.4444473073715653,6.0,15.0,1.6,28.0,10678.0,2.8,0.3,0.43,31301.25,7.1,13.0,766.0,2557.0,LAKE
0.683907761178038,-2.2596647813789117,1.9469030542685966,-0.8815395443472146,0.6174496053992783,30.0,15.0,1.5,30.0,10678.0,3.6,0.3,0.44,31301.25,7.2,15.0,270.0,2571.0,LAKE
0.23855490214791386,-2.235414560973594,1.6091962288845953,-0.3358540443029389,0.5652384726049292,12.0,17.0,1.8,31.0,10678.0,3.4,0.3,0.68,31301.25,7.3,14.0,230.0,4296.0,LAKE
0.8634282000889807,-3.188412552802834,1.5367902234157773,-0.020286055730093826,0.6227709281392423,14.0,19.0,2.0,32.0,10678.0,5.2,0.3,0.43,31301.25,7.1,13.0,766.0,2573.0,POND
0.2193967418902417,-3.3250942203303913,2.306837490887958,-0.7091951483865729,1.0312068022411944,11.0,15.0,2.6,32.0,10678.0,6.3,0.3,0.35,31301.25,7.3,17.0,766.0,2574.0,POND
-1.440584768294615,-1.81944721394842,2.09195131070309,-0.015612374095375347,-0.3391944606425853,3.8,16.0,1.8,34.0,9200.0,7.8,0.4,2.4,16000.0,7.0,18.0,27.0,2046.0,LAKE
-0.24190672564065419,0.39070790836124186,-1.0600043989888799,1.065947547727481,0.7170573896574371,35.8,26.0,1.8,29.0,170.0,6.2,0.36,1.0,140.0,7.2,3.0,20.0,3164.0,POND
2.6057983281309167,-0.4423050077218558,0.9684718351939818,-0.04718076780328125,3.1517390811016375,35.8,22.0,7.05,29.0,10678.0,0.3,0.3,0.91,1500.0,7.8,7.0,766.0,3031.0,LAKE
1.8164342078046096,-0.8271371051216634,0.7542950566066204,0.1981854543482675,2.967704939349226,35.8,22.0,3.3,29.0,10678.0,0.3,0.3,0.7,1500.0,8.1,7.0,766.0,3476.0,LAKE
2.687404818452391,-0.4689749155432394,0.9448429936253058,-0.08184620831180395,2.779284312753068,35.8,22.0,7.05,29.0,10678.0,0.3,0.41,0.58,1500.0,7.6,7.0,766.0,3030.0,LAKE
-0.1421137892248408,-0.8918326561412445,-0.7782101730925753,1.7954821255185214,-2.413415760532848,2.5,27.0,1.0,32.0,2200.0,3.0,0.32,0.32,3500.0,5.800000000000001,5.0,240.0,5280.0,LAKE
-1.0795414679010273,-0.3478450333941846,-0.8091780146030622,1.390638206053771,-2.011867811406048,1.7,25.0,1.0,31.0,350.0,4.2,0.32,0.62,540.0,6.1,6.0,8.0,3175.0,LAKE
0.2233750437493364,-1.3180815067974125,-1.2053489736995853,1.7121739122634432,-2.167508143898107,5.0,28.0,1.0,31.0,2400.0,4.0,0.32,0.34,3500.0,5.800000000000001,3.0,490.0,5103.0,LAKE
0.22328890325494224,-1.6794483430574632,-1.211179830415192,1.2675578217067651,-1.5453649409184342,2.1,27.0,1.0,30.0,2700.0,5.1,0.32,2.22,3400.0,6.1,3.0,766.0,3177.0,LAKE
1.560954023031267,-0.8286722881703976,-0.6685537382041992,1.6697960326745314,-1.7065489658360737,28.0,28.0,1.1,31.0,3400.0,1.0,0.32,0.35,4700.0,5.9,3.0,490.0,3180.0,LAKE
-0.566660395585407,-1.6604036981555288,-0.9750966420140597,1.3442654004284993,-1.6279260356546945,2.0,26.0,1.0,31.0,2400.0,6.8,0.32,0.32,4900.0,6.1,5.0,490.0,4408.0,LAKE
0.03861069833102387,-1.9796374401932064,-1.3586534331086566,1.301757020824636,-1.9918606234956013,1.9,27.0,1.0,30.0,2300.0,6.0,0.32,0.32,3300.0,5.800000000000001,3.0,766.0,2269.0,LAKE
0.47046397437178905,-0.7584412690377959,-1.0717621259283874,1.721859042916951,-1.95052367241672,16.0,28.0,1.2,31.0,2400.0,3.4,0.32,0.32,5400.0,5.9,3.0,230.0,3178.0,LAKE
1.4206874463174188,-1.3232292129890169,-1.3043899587452015,0.8987929958648977,-1.0207627338812009,6.7,27.0,1.7,28.0,4900.0,1.2,0.32,2.96,7000.0,6.3,1.0,766.0,3179.0,LAKE
-0.73033778314107,-1.1353518604935613,-1.538906995671133,1.4320074638738094,-1.8839396264811392,1.5,27.0,1.0,30.0,940.0,6.4,0.32,0.32,1500.0,6.0,3.0,330.0,5104.0,LAKE
-1.8882890989848962,0.2695486464617097,-0.7006544370599779,1.3762497881134887,0.9788502022790425,1.0,25.0,1.0,31.0,4.0,6.1,0.32,3.27,21.0,7.8,6.0,2.0,1345.0,LAKE
-1.0212808577949353,0.294710084454551,-0.7899393847275075,0.9627454709823634,0.5235867772315764,13.0,24.0,1.0,29.0,350.0,3.2,0.3,0.81,540.0,7.4,5.0,14.0,1973.0,LAKE
-0.8071518313681167,0.030937821933667637,-0.6324865446155887,1.51545887926127,0.7914993891333749,12.0,26.0,1.2,31.0,920.0,4.1,0.39,0.77,1600.0,7.5,5.0,170.0,1344.0,LAKE
-1.7112515443398233,0.43897734387106613,0.6073021256564222,2.026887395957222,1.754244373320289,3.5,25.0,1.6,35.0,920.0,4.5,0.42,1.69,1600.0,8.2,10.0,18.0,1977.0,LAKE
-1.6389268222000126,0.22651891036092708,-0.04376069550613262,1.8027867151833994,0.8460156847291724,3.9,25.0,1.0,33.0,350.0,4.0,0.32,0.66,540.0,7.7,8.0,11.0,3198.0,LAKE
-1.4366190321950736,0.18304958425538453,-1.2033690845518594,1.0803358515549142,0.6430085893835122,3.1,25.0,2.0,29.0,7.0,5.1,0.32,0.43,26.0,7.4,4.0,4.0,3199.0,LAKE
-0.32147412253940033,-0.01897133107655031,0.9708012774322774,0.9196259509238761,2.532868299769564,25.0,22.0,2.2,32.0,920.0,2.9,0.32,1.0,1600.0,8.2,10.0,540.0,1343.0,LAKE
-1.4418169596731865,-0.3946585426749906,-1.5389781814624732,1.2699422155475701,0.1988325366498618,2.3,26.0,1.8,29.0,350.0,6.5,0.04,0.47,920.0,7.1,3.0,70.0,2078.0,LAKE
-1.4977989971833812,0.02462680098586376,-1.044428599093388,0.9879857467519086,-0.15282456580105425,1.7,24.0,1.0,29.0,7.0,4.0,0.32,0.36,26.0,7.1,5.0,4.0,1975.0,LAKE
0.040699033836490504,1.258750321511873,2.080341673313703,1.772150066602309,2.513543654788512,34.0,23.0,3.7,36.0,920.0,0.3,0.32,0.78,1600.0,8.2,13.0,49.0,3201.0,LAKE
0.7242912501223997,1.623560672323055,1.2549417726857395,0.09305597687355083,2.7601876101723617,35.8,20.0,7.05,30.0,920.0,0.3,0.33,1.02,1600.0,7.9,10.0,2.0,3200.0,LAKE
-1.842899592051157,-0.39732854520145733,-0.9406161133208616,1.4023630802354836,-0.6768378521735077,1.1,25.0,1.0,31.0,2.0,7.0,0.3,0.3,14.0,6.8,6.0,2.0,2077.0,LAKE
-0.5438187193505828,0.8205510829995742,0.4551496300508869,0.2406451118768077,1.3849226883359815,27.0,20.0,2.2,29.0,170.0,1.2,0.32,0.85,920.0,7.7,9.0,12.0,1972.0,LAKE
-1.8007655785404273,-0.15145336462918127,-0.6518010292747852,0.8690085816290033,0.06572925888402384,2.4,23.0,2.0,30.0,33.0,6.5,0.32,0.37,79.0,7.1,7.0,5.0,1976.0,LAKE
-1.6365566597990864,0.4852051984453473,-0.24618678878136632,1.485295777706954,1.5246786608177632,3.3,25.0,1.2,32.0,240.0,5.3,0.36,4.34,350.0,8.1,7.0,63.0,1346.0,LAKE
-0.09606112535672183,0.9913215912118397,1.606489988098509,1.5599645182756912,1.6420483055529245,28.0,23.0,4.1,35.0,920.0,1.6,0.3,0.94,1600.0,7.7,12.0,12.0,1971.0,LAKE
-1.4240806435004785,0.28443998721446656,-1.5985260891122761,1.4025427980719105,1.161295250647326,2.6,27.0,1.0,29.0,94.0,5.2,0.47,1.23,240.0,7.8,2.0,63.0,3202.0,LAKE
-1.761589801833623,0.10097016181865487,-1.6803920749663366,1.7900547496078927,1.2040894729383558,2.0,28.0,1.0,30.0,12.0,6.6,0.32,0.36,46.0,7.8,2.0,2.0,2079.0,POND
-2.0237034186230587,-0.12303965508430512,-0.8338828670084351,1.4409640944904092,0.5963100089930401,2.2,25.0,1.0,31.0,17.0,6.8,0.3,0.4,40.0,7.5,6.0,2.0,1979.0,POND
-1.8516945125277782,-0.4338054098494603,-0.7178103239406435,0.4835658563060224,0.425894816770242,4.5,22.0,2.2,29.0,200.0,7.8,0.3,0.3,900.0,7.2,7.0,100.0,1349.0,LAKE
-1.636383479070898,-0.7907519541622873,-0.5552982811610283,0.5332916995731856,1.054897465478016,4.6,22.0,1.0,29.0,400.0,6.4,0.3,0.3,2100.0,7.6,7.0,400.0,1392.0,LAKE
1.060007974350903,-2.5212374193881697,-0.178171539020359,-1.5450229423198947,0.8474804016424221,10.0,18.0,4.0,25.0,7600.0,6.4,0.6,2.2,31000.0,7.0,7.0,766.0,3033.0,LAKE
-0.7574987092972486,-1.0534137057907702,3.8126354242077474,-1.348134124311459,0.1150984164473174,9.0,10.0,4.0,35.0,4200.0,6.5,1.8,1.8,9200.0,7.0,23.0,750.0,3032.0,LAKE
-1.6432060938656614,-0.4126954950300486,-0.6094489260159301,0.5024071000088052,0.6144015345922001,3.2,22.0,2.2,29.0,200.0,6.5,0.3,0.3,700.0,7.3,7.0,200.0,4857.0,POND
-3.4985211508919347,-0.8701202147364338,1.3839354457163633,-1.61339739656669,0.6798679500745642,1.0,10.0,1.0,28.0,540.0,8.6,0.32,1.62,1600.0,7.6,18.0,94.0,1291.0,LAKE
-2.5763735921126045,-0.4585706851794299,0.5346997596579273,-2.5408799128079536,-1.0801793813002267,1.0,10.0,1.0,23.0,130.0,5.5,0.3,4.67,1600.0,6.7,16.0,2.0,2650.0,LAKE
-2.4833607307617642,-0.1998241746100639,-0.9666777624755941,-0.6846510936587314,1.2185244914925861,2.6,18.0,1.0,25.0,130.0,6.7,0.32,0.91,350.0,7.8,7.0,26.0,1429.0,LAKE
